user_id,name,location,signup_date
user_1,User 1,NY,2025-07-04
user_2,User 2,FL,2025-06-08
user_3,User 3,TX,2024-10-18
user_4,User 4,IL,2024-07-27
user_5,User 5,TX,2024-12-08
user_6,User 6,CA,2025-04-04
user_7,User 7,NY,2025-04-30
user_8,User 8,NY,2024-08-18
user_9,User 9,CA,2024-12-25
user_10,User 10,CA,2025-03-22
user_11,User 11,NY,2025-04-16
user_12,User 12,TX,2025-03-14
user_13,User 13,IL,2024-12-26
user_14,User 14,CA,2025-04-02
user_15,User 15,TX,2024-12-29
user_16,User 16,CA,2025-05-21
user_17,User 17,CA,2025-02-23
user_18,User 18,TX,2025-02-22
user_19,User 19,FL,2024-07-12
user_20,User 20,TX,2025-05-28
user_21,User 21,TX,2024-10-13
user_22,User 22,NY,2025-05-17
user_23,User 23,NY,2024-10-25
user_24,User 24,IL,2025-04-14
user_25,User 25,TX,2025-02-11
user_26,User 26,TX,2025-02-24
user_27,User 27,FL,2025-05-11
user_28,User 28,CA,2024-10-25
user_29,User 29,IL,2025-01-14
user_30,User 30,IL,2025-01-19
user_31,User 31,TX,2025-03-11
user_32,User 32,CA,2025-02-19
user_33,User 33,NY,2025-01-04
user_34,User 34,NY,2024-11-19
user_35,User 35,IL,2025-03-25
user_36,User 36,IL,2024-09-03
user_37,User 37,TX,2024-07-15
user_38,User 38,TX,2024-12-17
user_39,User 39,CA,2025-03-11
user_40,User 40,CA,2025-03-22
user_41,User 41,IL,2024-12-10
user_42,User 42,TX,2025-02-07
user_43,User 43,NY,2024-07-28
user_44,User 44,CA,2024-08-16
user_45,User 45,TX,2025-04-08
user_46,User 46,FL,2024-12-19
user_47,User 47,CA,2024-09-27
user_48,User 48,CA,2025-06-10
user_49,User 49,NY,2025-04-25
user_50,User 50,FL,2025-06-17
user_51,User 51,TX,2025-01-07
user_52,User 52,FL,2024-11-10
user_53,User 53,IL,2025-04-10
user_54,User 54,TX,2024-07-14
user_55,User 55,FL,2024-12-02
user_56,User 56,NY,2024-09-02
user_57,User 57,IL,2025-06-08
user_58,User 58,IL,2024-07-09
user_59,User 59,TX,2025-01-26
user_60,User 60,NY,2024-07-14
user_61,User 61,NY,2024-11-10
user_62,User 62,IL,2024-08-19
user_63,User 63,CA,2024-11-12
user_64,User 64,TX,2024-08-20
user_65,User 65,NY,2025-06-12
user_66,User 66,NY,2025-03-20
user_67,User 67,IL,2025-02-13
user_68,User 68,TX,2024-11-30
user_69,User 69,TX,2024-08-04
user_70,User 70,CA,2025-04-06
user_71,User 71,TX,2024-07-22
user_72,User 72,IL,2024-09-28
user_73,User 73,FL,2025-02-21
user_74,User 74,CA,2025-03-22
user_75,User 75,FL,2024-09-07
user_76,User 76,FL,2025-05-14
user_77,User 77,NY,2025-03-08
user_78,User 78,TX,2024-10-20
user_79,User 79,CA,2024-12-25
user_80,User 80,FL,2024-09-24
user_81,User 81,FL,2024-09-27
user_82,User 82,CA,2024-11-15
user_83,User 83,FL,2024-10-27
user_84,User 84,NY,2025-06-28
user_85,User 85,FL,2024-07-27
user_86,User 86,IL,2025-05-05
user_87,User 87,TX,2025-02-09
user_88,User 88,FL,2024-09-18
user_89,User 89,TX,2024-11-15
user_90,User 90,FL,2024-11-13
user_91,User 91,CA,2025-04-16
user_92,User 92,FL,2024-07-22
user_93,User 93,CA,2025-01-28
user_94,User 94,IL,2025-05-22
user_95,User 95,TX,2024-12-06
user_96,User 96,CA,2025-02-16
user_97,User 97,FL,2025-03-09
user_98,User 98,CA,2025-02-25
user_99,User 99,TX,2024-10-10
user_100,User 100,FL,2024-11-07
